geography code,Name,Geography,Mid-2022,Mid-2011
E07000044,South Hams,Non-metropolitan District,"89,812","83,563"
E07000045,Teignbridge,Non-metropolitan District,"135,952","124,271"
E07000046,Torridge,Non-metropolitan District,"68,635","63,973"
E07000047,West Devon,Non-metropolitan District,"58,190","53,655"
E10000013,Gloucestershire,County,"652,409","598,289"
E07000078,Cheltenham,Non-metropolitan District,"119,434","115,645"
E07000079,Cotswold,Non-metropolitan District,"91,311","83,180"
E07000080,Forest of Dean,Non-metropolitan District,"87,937","82,200"
E07000081,Gloucester,Non-metropolitan District,"133,522","121,921"
E07000082,Stroud,Non-metropolitan District,"123,205","113,074"
E07000083,Tewkesbury,Non-metropolitan District,"97,000","82,269"
W92000004,WALES,Country,"3,131,640","3,063,758"
W06000001,Isle of Anglesey,Unitary Authority,"69,049","69,913"
W06000002,Gwynedd,Unitary Authority,"117,591","121,523"
W06000003,Conwy,Unitary Authority,"114,290","115,326"
W06000004,Denbighshire,Unitary Authority,"96,558","93,919"
W06000005,Flintshire,Unitary Authority,"155,319","152,666"
W06000006,Wrexham,Unitary Authority,"135,394","135,070"
W06000023,Powys,Unitary Authority,"133,891","133,071"
W06000008,Ceredigion,Unitary Authority,"71,610","75,293"
W06000009,Pembrokeshire,Unitary Authority,"124,367","122,613"
W06000010,Carmarthenshire,Unitary Authority,"189,117","183,961"
W06000011,Swansea,Unitary Authority,"241,282","238,691"
W06000012,Neath Port Talbot,Unitary Authority,"142,158","139,880"
W06000013,Bridgend,Unitary Authority,"146,136","139,410"
W06000014,Vale of Glamorgan,Unitary Authority,"133,492","126,679"
W06000015,Cardiff,Unitary Authority,"372,089","345,442"
W06000016,Rhondda Cynon Taf,Unitary Authority,"239,018","234,373"
W06000024,Merthyr Tydfil,Unitary Authority,"58,883","58,851"
W06000018,Caerphilly,Unitary Authority,"176,130","178,782"
W06000019,Blaenau Gwent,Unitary Authority,"67,014","69,812"
W06000020,Torfaen,Unitary Authority,"92,860","91,190"
W06000021,Monmouthshire,Unitary Authority,"93,886","91,508"
W06000022,Newport,Unitary Authority,"161,506","145,785"
S92000003,SCOTLAND,Country,"5,447,700","5,299,900"
S12000033,Aberdeen City,Council Area,"224,190","222,460"
S12000034,Aberdeenshire,Council Area,"263,750","253,650"
S12000041,Angus,Council Area,"114,660","116,200"
S12000035,Argyll and Bute,Council Area,"87,920","88,930"
S12000036,City of Edinburgh,Council Area,"514,990","477,940"
S12000005,Clackmannanshire,Council Area,"51,750","51,500"
S12000006,Dumfries and Galloway,Council Area,"145,770","151,410"
S12000042,Dundee City,Council Area,"148,350","147,200"
S12000008,East Ayrshire,Council Area,"120,390","122,690"
S12000045,East Dunbartonshire,Council Area,"108,980","105,000"
S12000010,East Lothian,Council Area,"112,450","99,920"
S12000011,East Renfrewshire,Council Area,"97,160","90,810"
S12000014,Falkirk,Council Area,"158,450","156,250"
S12000047,Fife,Council Area,"371,340","365,300"
S12000049,Glasgow City,Council Area,"622,820","593,060"
S12000017,Highland,Council Area,"235,710","232,730"
S12000018,Inverclyde,Council Area,"78,340","81,220"
S12000019,Midlothian,Council Area,"97,030","83,450"
S12000020,Moray,Council Area,"94,280","93,470"
S12000013,Na h-Eileanan Siar,Council Area,"26,120","27,690"
S12000021,North Ayrshire,Council Area,"133,490","138,090"
S12000050,North Lanarkshire,Council Area,"340,930","337,720"
S12000023,Orkney Islands,Council Area,"22,020","21,420"
S12000048,Perth and Kinross,Council Area,"151,120","146,850"
S12000038,Renfrewshire,Council Area,"184,340","174,700"
S12000026,Scottish Borders,Council Area,"116,820","113,880"
S12000027,Shetland Islands,Council Area,"23,020","23,240"
S12000028,South Ayrshire,Council Area,"111,560","112,980"
S12000029,South Lanarkshire,Council Area,"327,430","313,900"
S12000030,Stirling,Council Area,"92,530","90,330"
S12000039,West Dunbartonshire,Council Area,"88,270","90,610"
S12000040,West Lothian,Council Area,"181,720","175,300"
N92000002,NORTHERN IRELAND,Country,"1,910,543","1,814,318"
N09000001,Antrim and Newtownabbey,Local Government District,"146,148","138,651"
N09000011,Ards and North Down,Local Government District,"164,223","156,943"
N09000002,"Armagh City, Banbridge and Craigavon",Local Government District,"220,271","200,298"
N09000003,Belfast,Local Government District,"348,005","333,895"
N09000004,Causeway Coast and Glens,Local Government District,"141,316","140,907"
N09000005,Derry City and Strabane,Local Government District,"150,836","148,191"
N09000006,Fermanagh and Omagh,Local Government District,"116,994","113,501"
N09000007,Lisburn and Castlereagh,Local Government District,"149,915","135,280"
N09000008,Mid and East Antrim,Local Government District,"139,200","135,365"
N09000009,Mid Ulster,Local Government District,"151,001","139,011"
N09000010,"Newry, Mourne and Down",Local Government District,"182,634","172,276"
